Faculty	Lab_only	urls	RAs
"Aly, Mariam"	"Attention, Perception, and Memory Lab"	/aly/	Yes
"Amso, Dima"	Developmental Cognitive Neuroscience Lab	/amso/	Yes
"Baldassano, Chris"	Dynamic Perception and Memory Lab	/baldassano/	Yes
"Balsam, Peter"	Adaptive Behavior Lab	/balsam/	No
"Bolger, Nial"	Couples Lab	/bolger/	No
"Davachi, Lila"	The Davachi Memory Lab	/davachi/	Yes
"Downey, Geraldine"	Social Relations Lab	/downey/	No
"Freeman, Jon"	The Social Cognitive and Neural Sciences Lab	/freeman/	Yes
"Graham, Norma"	Mathematical Models of Visual Processes	/graham/	No
"Hart, Carl"	Neuropsychopharmacology Lab	/hart/	No
"Heiphetz, Larisa"	Social and Moral Cognition Lab	/heiphetz/	No
"Higgins, Tory"	Motivational and Social Cognition Lab	/higgins/	No
"Kriegeskorte, Niko"	Visual Inference Lab	/kriegeskorte/	Yes
"Marlin, Bianca Jones"	The Marlin Lab	/marlin/	No
"Metcalfe, Janet"	Metacognition and Memory Lab	/metcalfe/	No
"Ochsner, Kevin"	"Social, Cognitive, and Affective Neuroscience Lab"	/ochsner/	Yes
"Purdie-Greenway, Valerie"	Laboratory of Intergroup Relations and the Social Mind	/purdie-greenway/	Yes
"Shohamy, Daphna"	The Learning Lab	/shohamy/	Yes
"Silver, Rae"	The Silver Neurobiology Lab	/silver/	Yes
"Spagna, Alfredo"	Living Lab	/spagna/	No
"Tottenham, Nim"	Developmental Affective Neuroscience Lab	/tottenham/	No
